icao,lon
KCOD,-109.024
KCOE,-116.82
KCOF,-80.6101
KCON,-71.5023
KCOS,-104.701
KCOU,-92.2196
KCPR,-106.4616
KCRE,-78.7239
KCRG,-81.5144
KCRP,-97.5012
KCRQ,-117.28
KCRW,-81.5932
KCSG,-84.9396
KCSV,-85.085
KCTB,-112.3782
KCUB,-80.9952
KCVG,-84.6678
KCVN,-103.0788
KCVO,-123.29
KCVS,-103.322
KCWA,-89.6702
KCXO,-95.4145
KCXP,-119.7343
KCYS,-104.812
KDAA,-77.181
KDAB,-81.0595
KDAG,-116.787
KDAL,-96.8477
KDAN,-79.3361
KDAY,-84.2194
KDBQ,-90.7095
KDCA,-77.0377
KDDC,-99.9656
KDEC,-88.8657
KDEN,-104.6738
KDFW,-97.038
KDHN,-85.4496
KDHT,-102.547
KDIK,-102.8019
KDJT,-80.0956
KDLF,-100.778
KDLH,-92.1987
KDLS,-121.1708
KDMA,-110.883
KDMN,-107.721
KDNL,-82.0394
KDOV,-75.466
KDPA,-88.2486
KDRA,-116.033
KDRI,-93.3399
KDRO,-107.754
KDRT,-100.927
KDSM,-93.6567
KDTS,-86.4715
KDTW,-83.3538
KDUA,-96.3951
KDUG,-109.6046
KDUJ,-78.8987
KDVL,-98.9088
KDXR,-73.4822
KDYS,-99.8546
KEAR,-99.0068
KEAT,-120.207
KEAU,-91.4843
KECG,-76.1746
KECP,-85.7954
